epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,952.237,0.83026,0.50724,0.89052,0.84585,0.84744,0.87493,0.74009,0.81907,0.44982,0.81003,0.0004555,0.0004555,0.0004555
57,968.582,0.83433,0.50124,0.89316,0.87511,0.84203,0.8874,0.7505,0.80793,0.43664,0.80999,0.0004456,0.0004456,0.0004456
58,985.032,0.83904,0.50613,0.89201,0.87889,0.82172,0.87404,0.73985,0.81381,0.44472,0.81165,0.0004357,0.0004357,0.0004357
59,1001.35,0.82379,0.49935,0.88915,0.86433,0.84595,0.88775,0.74864,0.83147,0.44773,0.81249,0.0004258,0.0004258,0.0004258
60,1017.71,0.83182,0.49329,0.88811,0.90366,0.78093,0.86473,0.72744,0.8403,0.47426,0.81631,0.0004159,0.0004159,0.0004159
61,1034.03,0.81708,0.49166,0.88735,0.87402,0.82921,0.87924,0.75214,0.80571,0.44851,0.81236,0.000406,0.000406,0.000406
62,1050.39,0.81,0.49078,0.88952,0.89031,0.82237,0.88304,0.74922,0.80991,0.44025,0.81511,0.0003961,0.0003961,0.0003961
63,1066.69,0.8108,0.48213,0.88832,0.92159,0.79316,0.87499,0.74333,0.80373,0.44597,0.80838,0.0003862,0.0003862,0.0003862
64,1083.03,0.79437,0.47186,0.88137,0.8833,0.83562,0.88427,0.75233,0.80292,0.43084,0.80462,0.0003763,0.0003763,0.0003763
65,1099.38,0.81577,0.48181,0.87808,0.85,0.83651,0.86475,0.73068,0.81157,0.45682,0.81306,0.0003664,0.0003664,0.0003664
66,1115.65,0.78552,0.47535,0.88539,0.88381,0.79513,0.86831,0.74033,0.79881,0.45693,0.80732,0.0003565,0.0003565,0.0003565
67,1131.96,0.79331,0.46917,0.88003,0.88008,0.83353,0.88129,0.74832,0.8043,0.43901,0.80551,0.0003466,0.0003466,0.0003466
68,1148.39,0.7904,0.46122,0.87444,0.8762,0.81015,0.86969,0.73956,0.80901,0.45275,0.81408,0.0003367,0.0003367,0.0003367
69,1164.68,0.77524,0.46131,0.87774,0.90708,0.83803,0.89283,0.75469,0.81084,0.42657,0.81022,0.0003268,0.0003268,0.0003268
70,1181.1,0.79887,0.47297,0.88413,0.85294,0.87208,0.89083,0.75385,0.79222,0.42847,0.80521,0.0003169,0.0003169,0.0003169
71,1197.47,0.79617,0.46464,0.87802,0.90198,0.84485,0.89172,0.76053,0.79738,0.43356,0.80693,0.000307,0.000307,0.000307
72,1213.86,0.77772,0.46404,0.88019,0.85366,0.84876,0.88287,0.75041,0.79246,0.43438,0.79991,0.0002971,0.0002971,0.0002971
73,1230.16,0.79545,0.46731,0.88571,0.88772,0.83559,0.88801,0.7607,0.79074,0.42032,0.79745,0.0002872,0.0002872,0.0002872
74,1246.48,0.78584,0.45799,0.88006,0.87395,0.83979,0.88182,0.75328,0.79823,0.42278,0.80599,0.0002773,0.0002773,0.0002773
75,1262.76,0.78222,0.45785,0.87901,0.87565,0.83648,0.88795,0.76096,0.78041,0.41512,0.80138,0.0002674,0.0002674,0.0002674
76,1279.13,0.77297,0.4526,0.87802,0.90749,0.83595,0.89319,0.76428,0.7823,0.40659,0.79881,0.0002575,0.0002575,0.0002575
77,1295.57,0.7767,0.45199,0.87368,0.87797,0.82805,0.88307,0.75872,0.78117,0.42337,0.79722,0.0002476,0.0002476,0.0002476
